,p1,p2
0,0,1972
2,0,138
3,0,3053
4,0,1473
5,0,4978
10,0,3874
12,0,98
14,0,1547
15,0,3622
17,0,5455
20,0,1849
21,0,980
22,0,1578
24,0,876
28,0,2524
29,0,961
30,0,5154
31,0,3372
32,0,2639
33,0,3099
35,0,1909
36,0,4537
40,0,5855
41,0,4157
42,0,2051
44,1,4413
45,1,4896
49,1,2565
54,1,3699
56,1,3849
58,1,1618
60,1,3550
62,1,5729
419,44,4541
420,44,4739
421,44,3283
424,44,3126
425,44,2175
426,44,4855
428,44,2842
431,44,3924
433,44,5474
434,44,2469
437,44,2798
438,44,3027
440,44,1009
443,44,4100
444,44,2395
447,44,4144
450,44,2372
451,44,472
453,44,1978
454,44,4520
512,47,3008
1202,93,522
1203,93,3611
1206,93,3506
1209,93,1122
1210,93,5545
1215,93,3080
1218,93,2202
1219,93,4156
1221,93,5678
1224,93,5533
1227,93,4217
1228,93,4323
1231,93,3957
1232,93,5188
1236,93,3603
1242,93,3321
1244,93,1059
1247,93,1582
1248,93,2612
1250,93,1573
1253,93,2673
1264,94,3457
1266,94,2993
1317,98,1178
1321,98,4914
1323,98,729
1324,98,3260
1327,98,2792
1328,98,5202
1329,98,4185
1330,98,1344
1331,98,1547
1333,98,3622
1334,98,4749
1335,98,4549
1338,98,1849
1340,98,961
1346,98,1558
1348,98,2524
1349,98,3099
1351,98,4293
1353,98,2051
1354,98,297
1358,98,1279
1359,98,5093
1361,98,1475
1362,98,848
1365,98,4623
1370,98,2730
1374,98,676
1379,98,2639
1380,98,4680
1383,98,2647
1385,98,4498
1387,98,1972
1388,98,2555
1391,98,5574
1396,98,3242
1398,98,885
1399,98,1976
1404,98,3489
1405,98,1137
1410,98,432
1411,98,698
1412,98,3684
1413,98,876
1414,98,2759
1415,98,4598
1419,98,5154
1421,98,5065
1422,98,1220
1424,98,3327
1425,98,1224
1429,98,2086
1430,98,5779
1431,98,3694
1432,98,3817
1434,98,2600
1438,98,169
1441,98,5785
1442,98,980
1443,98,5855
1446,98,2015
1448,98,1909
1449,98,2979
1452,98,4537
1454,98,5621
1457,98,4911
1544,108,885
1546,108,2702
1547,108,2086
1548,108,479
1550,108,5779
1552,108,2558
1554,108,4856
1556,108,2527
1557,108,2171
1558,108,1976
1563,108,1279
1566,108,1137
1567,108,2916
1568,108,3817
1569,108,5065
1570,108,1931
1572,108,899
1574,108,2540
1576,108,1621
1577,108,5574
1578,108,3256
1580,108,420
1582,108,4293
1583,108,4992
1585,108,2979
1586,108,4914
1587,108,4804
1588,108,5621
1591,108,297
1592,108,5599
1792,114,2932
1793,114,3379
1818,120,4400
2013,3006,2292
2015,3006,3748
2016,3006,4637
2018,3006,1267
2064,138,1972
2065,138,5154
2066,138,2524
2071,138,2639
2072,138,676
2075,138,876
2077,138,4978
2079,138,3622
2082,138,2051
2460,160,4414
2467,160,2417
2478,160,5417
2528,165,3523
2536,165,3752
2540,165,674
2544,165,2417
2545,165,1797
2552,165,1386
2561,165,4354
2588,169,1224
2592,169,2555
2594,169,1344
2596,169,1279
2597,169,3260
2600,169,1475
2603,169,140
2605,169,2792
2606,169,5202
2608,169,4537
2609,169,4185
2617,169,4598
2618,169,4749
2620,169,3489
2621,169,2730
2623,169,5093
2624,169,1849
2627,169,1621
2628,169,432
2630,169,4943
2631,169,698
2635,169,3684
2637,169,2759
2638,169,1558
2641,169,2015
2644,169,2524
2645,169,1909
2646,169,3099
2649,169,2600
2652,169,2647
2653,169,5785
2654,169,1220
2656,169,5855
2658,169,4498
2659,169,4911
2668,171,2469
2669,171,3027
2894,179,1250
2896,179,3305
2899,179,1590
2900,179,1397
2901,179,190
2902,179,911
2903,179,4333
2904,179,5718
2907,179,2141
2908,179,384
2910,179,901
2912,179,3768
2913,179,1770
2914,179,4193
2916,179,1983
2917,179,3229
2918,179,2634
2919,179,2035
2922,179,435
2925,179,1436
2928,179,5086
2929,179,1971
2931,179,5705
2932,179,3182
2935,179,3637
2937,179,2612
2939,179,2925
2940,179,4883
2941,179,1145
2942,179,4228
3049,190,3080
3051,190,1983
3053,190,3696
3058,190,3305
3059,190,3506
3060,190,5678
3063,190,901
3064,190,3108
3065,190,1590
3067,190,4193
3070,190,2034
3071,190,3229
3076,190,4005
3077,190,1215
3079,190,4883
3083,190,3603
3084,190,2868
3086,190,5086
3088,190,3609
3091,190,5705
3094,190,4583
3095,190,3211
3096,190,1770
3097,190,2612
3100,190,4796
3101,190,1145
3102,190,5420
3103,190,3315
3104,190,4759
3952,240,575
3955,240,3008
3958,240,3296
4147,269,3008
4415,297,2764
4418,297,2086
4419,297,479
4421,297,5779
4422,297,5574
4423,297,420
4426,297,3256
4429,297,5785
4430,297,5065
4432,297,4598
4433,297,961
4435,297,2558
4437,297,4293
4438,297,4992
4439,297,2979
4440,297,2527
4441,297,4804
4442,297,5621
4445,297,5599
4598,315,4541
4599,315,4739
4600,315,3027
4601,315,4144
4603,315,2469
4605,315,4100
4743,330,795
4860,343,3008
4873,4992,885
4875,4992,2702
4876,4992,2086
4877,4992,479
4879,4992,4810
4880,4992,5574
4881,4992,420
4883,4992,4856
4886,4992,1976
4887,4992,2540
4889,4992,4914
4891,4992,1137
4892,4992,2916
4893,4992,3817
4894,4992,5065
4895,4992,1931
4897,4992,5779
4900,4992,4598
4901,4992,3256
4902,4992,2558
4904,4992,4293
4906,4992,2979
4907,4992,2527
4908,4992,4804
4909,4992,5621
4912,4992,5855
4914,4992,5599
5169,377,1885
5175,377,433
5176,377,4954
5179,377,3413
5186,377,5679
5231,384,1250
5233,384,3305
5235,384,1590
5236,384,911
5237,384,5718
5240,384,4583
5243,384,3768
5244,384,1770
5245,384,4193
5246,384,1983
5247,384,1998
5248,384,2634
5250,384,435
5251,384,901
5253,384,5086
5254,384,1971
5255,384,3182
5256,384,1397
5258,384,4333
5259,384,2141
5260,384,2925
5262,384,4228
5743,420,885
5744,420,2086
5745,420,479
5747,420,2558
5754,420,4914
5756,420,1137
5757,420,2916
5758,420,3817
5759,420,1931
5762,420,5154
5764,420,4293
5765,420,2979
5766,420,2527
5767,420,4804
5768,420,5065
5770,420,5599
5903,432,1224
5906,432,1344
5912,432,2600
5913,432,5093
5914,432,3242
5916,432,4185
5917,432,3018
5921,432,5312
5922,432,2730
5923,432,4749
5924,432,1849
5927,432,4943
5928,432,698
5930,432,2260
5931,432,961
5932,432,1909
5933,432,4537
5934,432,2647
5935,432,5855
5936,432,4911
5939,433,1885
5940,433,3264
5941,433,5679
5946,433,4954
5948,433,3413
5952,433,2514
5986,435,1250
5987,435,3305
5989,435,1590
5990,435,911
5991,435,5718
5992,435,1998
5994,435,4583
5996,435,3768
5997,435,1770
5998,435,4193
5999,435,1983
6000,435,3229
6001,435,2634
6002,435,2035
6004,435,901
6007,435,5034
6009,435,5705
6010,435,3182
6012,435,1397
6014,435,4333
6015,435,2141
6016,435,2925
6018,435,5621
6019,435,4228
6438,470,1224
6439,470,809
6440,470,1622
6441,470,4680
6443,470,3260
6446,470,2205
6447,470,3694
6450,470,5312
6451,470,5855
6453,470,4155
6454,470,4911
6468,472,4739
6469,472,3027
6470,472,2842
6471,472,1009
6474,472,508
6475,472,2175
6476,472,2395
6477,472,4855
6479,472,2469
6515,478,1507
6516,478,3008
6517,479,1344
6518,479,2086
6519,479,4914
6520,479,5574
6522,479,4856
6524,479,3242
6530,479,2558
6531,479,1931
6536,479,4293
6538,479,2979
6539,479,2527
6541,479,5065
6927,508,3283
6929,508,4739
6930,508,3027
6931,508,3924
6933,508,4144
6934,508,1009
6937,508,2798
6938,508,4100
6940,508,2469
6942,508,2842
6951,510,3994
6952,510,2413
6963,510,3752
6964,510,674
6977,510,4354
7216,522,3611
7218,522,4439
7219,522,3965
7220,522,5545
7224,522,2202
7225,522,5533
7226,522,1573
7227,522,4642
7228,522,3957
7229,522,5188
7232,522,3321
7233,522,3452
7234,522,1059
7236,522,3108
7238,522,2673
7362,533,5670
7363,533,3008
7763,575,3008
7880,587,2081
7881,587,1507
7885,587,3379
8056,599,3379
9084,674,3752
9104,676,2555
9108,676,3874
9110,676,3622
9114,676,2639
9115,676,876
9116,676,1558
9120,676,3099
9121,676,1909
9122,676,5785
9124,676,5855
9126,676,2051
9230,686,5396
9322,696,1553
9326,696,3457
9350,698,1279
9352,698,848
9355,698,5093
9356,698,1373
9357,698,3242
9358,698,2759
9359,698,1344
9365,698,2730
9367,698,1849
9369,698,2015
9371,698,876
9372,698,3684
9375,698,1558
9376,698,4598
9378,698,961
9379,698,2524
9380,698,3099
9381,698,3489
9383,698,3747
9384,698,2647
9385,698,5785
9387,698,5855
9389,698,4911
9425,3108,3696
9426,3108,4439
9427,3108,1785
9447,705,3379
9504,712,1382
9506,712,3008
9584,722,5666
9586,722,1144
9874,729,2524
9877,729,5855
9878,729,1373
9879,729,1558
9880,729,3747
10068,740,3008
10376,4623,1224
10379,4623,885
10381,4623,4914
10386,4623,4749
10390,4623,4498
10392,4623,5599
10529,782,4299
10531,782,3008
10716,795,5666
10718,795,1144
10720,795,4400
10722,795,1146
10840,809,2260
10841,809,4155
10843,809,4680
10844,809,5263
10848,809,3694
10849,809,2205
10850,809,5093
10851,809,5312
10853,809,3260
10974,820,1144
11194,140,2015
11196,140,2524
11197,140,4498
11199,140,2639
11201,140,2647
11202,140,3684
11204,140,5855
11205,140,5785
11262,848,1972
11266,848,2600
11267,848,5093
11269,848,3053
11273,848,1578
11274,848,2639
11276,848,2759
11277,848,2015
11278,848,961
11279,848,3099
11280,848,4537
11282,848,2051
11298,852,1146
11493,876,1972
11496,876,3053
11498,876,2524
11500,876,4978
11504,876,3874
11506,876,1547
11507,876,3622
11510,876,3489
11511,876,5455
11513,876,980
11514,876,1578
11515,876,2569
11518,876,1473
11520,876,3684
11522,876,2759
11524,876,3372
11525,876,961
11526,876,5154
11527,876,4157
11528,876,2639
11532,876,1909
11534,876,3099
11536,876,5855
11538,876,2051
11657,885,1224
11659,885,1178
11661,885,2555
11662,885,1344
11663,885,1279
11664,885,5779
11670,885,5093
11671,885,1373
11673,885,3242
11674,885,1849
11679,885,4749
11680,885,4914
11686,885,1931
11688,885,2015
11689,885,2639
11691,885,5065
11692,885,3684
11696,885,4598
11698,885,961
11700,885,2524
11701,885,1909
11702,885,3099
11703,885,3489
11705,885,2979
11707,885,2647
11708,885,5785
11710,885,5855
11712,885,4911
11713,886,4323
11714,886,3696
11715,886,1785
11719,886,1122
11774,894,2178
11775,894,1144
11777,894,4562
11809,901,1250
11810,901,5718
11811,901,4759
11812,901,5705
11813,901,3229
11814,901,1397
11816,901,4333
11817,901,1590
11819,901,3768
11878,911,1590
11881,911,3768
11883,911,1770
11884,911,4193
11886,911,1983
11887,911,3229
11891,911,5705
11892,911,1397
11894,911,4333
11895,911,2925
11896,911,4228
11931,914,3008
12094,935,4648
12096,935,3379
12216,950,2687
12218,950,3008
12222,950,1823
12223,950,3510
12224,950,4250
12225,950,4299
12227,950,1649
12328,961,1224
12329,961,1972
12330,961,1178
12332,961,1344
12334,961,3694
12337,961,5093
12340,961,3242
12341,961,2759
12342,961,4185
12345,961,1547
12347,961,3622
12349,961,4749
12350,961,3489
12351,961,5455
12354,961,1849
12356,961,980
12358,961,1578
12361,961,5154
12368,961,4598
12369,961,5263
12372,961,3053
12373,961,2524
12375,961,3099
12377,961,1909
12378,961,4537
12379,961,2051
12380,961,4804
12381,961,2647
12382,961,5785
12383,961,2015
12384,961,3684
12385,961,5855
12386,961,4498
12388,961,4911
12516,980,1972
12518,980,4978
12521,980,4157
12522,980,1547
12523,980,3622
12526,980,2569
12527,980,2639
12530,980,2524
12531,980,2015
12532,980,5154
12534,980,3099
12536,980,5855
12537,980,2051
12750,1009,4541
12751,1009,4739
12752,1009,3283
12754,1009,3126
12755,1009,2175
12756,1009,4855
12759,1009,2842
12760,1009,5474
12763,1009,2798
12764,1009,3027
12766,1009,2469
12768,1009,4100
12771,1009,4144
12775,1009,1978
12776,1009,4520
13289,1059,3321
13290,1059,2202
13291,1059,3452
13293,1059,1785
13294,1059,3957
13295,1059,5188
